Project,Task ID,Title,Column,Priority,Labels,Description,Created
"Moltbot on Synology NAS","task-moltbot-14","Verify filesystem isolation","phase5","urgent","security; testing","Test that container cannot see NAS files: docker exec moltbot-gateway ls /volume1/ should fail or show nothing.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-15","Disable SSH","phase5","high","security","Control Panel > Terminal & SNMP > Disable SSH. Re-enable only when needed for maintenance.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-16","Set up Snapshot Replication (optional)","phase5","medium","backup","Install Snapshot Replication from Package Center. Take snapshot before first Moltbot run. Schedule daily snapshots of moltbot_data only.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-17","Configure auto-updates (optional)","phase5","low","maintenance","Add Watchtower container to auto-update Moltbot image daily. Or manually check for updates periodically.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-18","Connect messaging channels","phase5","medium","integration","Connect WhatsApp (QR scan), Telegram (bot token), Discord (bot token) via docker compose run --rm moltbot-cli channels commands.","2026-02-08T05:06:56.861Z"
"Moltbot on Synology NAS","task-moltbot-19","SECURITY: Understand the risks","phase1","urgent","security; warning","Docker isolation protects NAS FILES but NOT data flowing through the AI agent. Prompt injection attacks can exfiltrate data via connected channels (WhatsApp, Telegram). API keys stored in container are at risk. This is attack surface on a low-attack-surface device.","2026-02-08T05:06:56.861Z"
"Earnings Alpha Signal Service","ea-1","Set up FMP earnings calendar webhook listener","done","high","Setup; FMP","DEPLOYED: Earnings_Alpha_Signal_Service_v2.0 (workflow rlsoPCu5C0AFFQPQ). FMP earnings calendar polling every 15 min during market hours. Detects new earnings releases, filters reported vs upcoming, deduplicates against processed sheet.","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-2","Build earnings transcript ingestion pipeline","done","high","Core; FMP","DEPLOYED: Earnings_Alpha_Signal_Service_v2.0. Full transcript fetch via FMP /earning_call_transcript. Parses into structured sections: prepared remarks, Q&A, guidance statements. Extracts guidance keywords and word count.","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-3","Implement historical financials comparison engine","done","high","Core; Data","DEPLOYED: Earnings_Alpha_Signal_Service_v2.0. Fetches 8 quarters of income statement, balance sheet, cash flow via FMP. Calculates QoQ and YoY deltas for revenue, EPS, margins, cash flow. Flags beats/misses vs consensus estimates.","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-4","Build AI sentiment scoring model for transcripts","done","medium","AI","DEPLOYED: Earnings_Alpha_Signal_Service_v2.0. Claude Sonnet 4.5 scores management confidence (1-10), guidance tone (bearish to bullish), language shifts, keyword frequency analysis. Outputs structured JSON with quarter grade (A+ to F).","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-5","Integrate Massive.com real-time price reaction feed","done","medium","Core; Massive","DEPLOYED: Earnings_Alpha_Signal_Service_v2.0. FMP real-time quotes + 5-day historical prices. Calculates price change %, volume ratio vs average, intraday range, price reaction magnitude (LOW/MODERATE/HIGH).","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-6","Create composite ""Alpha Score"" algorithm","done","medium","AI; Data","DEPLOYED: Earnings_Alpha_Signal_Service_v2.0. Composite 0-100 Alpha Score: Sentiment (25pts) + Financial Beat/Miss (30pts) + Guidance Direction (25pts) + Price Reaction (20pts). Classified into 5 tiers: Strong Alpha, Moderate Alpha, Neutral, Moderate Risk, High Risk.","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-7","Build subscriber notification system","done","medium","Output; Alerts","DEPLOYED: Earnings_Alpha_Signal_Service_v2.0. Multi-channel alerts: Email (HTML template with score breakdown), Telegram (formatted with emoji indicators), Discord (rich embed with fields). All delivered within minutes of earnings release.","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-8","Implement subscriber dashboard with historical performance","done","medium","UI","DEPLOYED: Earnings_Alpha_Dashboard_API_v2.0 (workflow lNcugCEV6bP1VkwK). REST API endpoints: /signals (paginated, filterable), /performance (win rates, tier distribution, accuracy metrics), /calendar (14-day upcoming earnings). CORS-enabled for frontend consumption.","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-9","Set up Stripe subscription billing ($49/$149/$299 tiers)","done","low","Billing","DEPLOYED: Earnings_Alpha_Billing_v2.0 (workflow 9njhyftorWf6DUfV). Stripe webhook handler for subscription lifecycle (created, updated, cancelled, payment). Checkout session creation with 7-day trial. Welcome and cancellation emails. Subscriber tracking in Google Sheets.","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-10","Build signal backtesting engine and publish track record","done","low","Data; Launch","DEPLOYED: Earnings_Alpha_Backtest_v2.0 (workflow uKtnMgHOPa0dx03Q). Weekly automated backtesting calculates T+1d, T+5d, T+20d forward returns. Computes win rates by Alpha Score bucket, Sharpe ratio approximation. Results stored in Google Sheets and emailed as report.","2026-02-07T00:00:00.000Z"
"Earnings Alpha Signal Service","ea-11","Launch landing page and marketing funnel","done","low","Launch","DEPLOYED: Earnings_Alpha_Marketing_v2.0 (workflow edI9XO4qcMppJGhD). Lead capture webhook with email validation. Welcome drip email with 7-day free trial CTA. Public track record API and sample signals API for landing page. Weekly Friday nurture emails to unconverted leads.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-1","Set up Massive.com OPRA data feed connection","backlog","high","Setup; Massive","Connect to Massive WebSocket for real-time options trades and quotes from all US options exchanges. Handle reconnection, backpressure, and message parsing. Target <100ms latency from OPRA timestamp.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-2","Build baseline volume/OI statistics calculator","backlog","high","Core; Data","Calculate rolling 20-day average volume and open interest per contract and per underlying. Store in Redis for fast lookups. Update baselines daily after market close. Include sector-level baselines.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-3","Implement unusual activity detection algorithms","backlog","high","Core; Options","Detect: volume >5x daily average, single trades >$500K premium, OI changes >200% overnight, IV expansion >2 standard deviations. Score each alert by conviction (size, timing, sweep vs block, exchange distribution).","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-4","Integrate FMP fundamentals for context filtering","backlog","medium","FMP; Data","Pull FMP data for each flagged underlying: upcoming earnings date, recent insider activity, sector performance, analyst rating changes. Filter out alerts near known catalysts (earnings, FDA dates) vs truly unusual activity.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-5","Build sweep detection and smart money classification","backlog","medium","Core; Options","Identify sweeps (aggressive fills across exchanges), blocks (single-venue large prints), and spreads (paired trades). Classify as opening/closing using OI changes. Tag as bullish/bearish based on delta direction.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-6","Create real-time alert scoring and ranking system","backlog","medium","AI; Data","Rank alerts by composite score: trade size, volume multiple, IV percentile, days-to-expiry, moneyness, sweep ratio, and fundamental catalyst proximity. Surface only top 5-10 alerts per day to reduce noise.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-7","Build multi-channel subscriber alert system","backlog","medium","Output; Alerts","Push alerts via Telegram (instant), Discord (webhook), email (digest), SMS (urgent only). Include: ticker, strike, expiry, premium spent, volume vs avg, IV change, fundamental context, and conviction score.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-8","Implement subscriber web dashboard with live feed","backlog","medium","UI","Real-time scrolling feed of all unusual activity with filtering by sector, conviction score, trade size, bullish/bearish. Historical alert lookup with P&L tracking for past signals.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-9","Build alert performance tracking and win-rate analytics","backlog","low","Data; Testing","Track each alert forward: stock price at T+1d, T+5d, T+20d, option P&L at various exits. Calculate win rates by conviction tier, sector, trade type. Publish weekly performance report.","2026-02-07T00:00:00.000Z"
"Options Unusual Activity Scanner","os-10","Set up tiered subscription billing and launch","backlog","low","Billing; Launch","Pricing: Scanner ($99/mo, delayed feed + daily digest), Pro ($249/mo, real-time alerts + dashboard), Institutional ($499/mo, API access + custom filters). Stripe integration, landing page, marketing.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-1","Build FMP dividend aristocrat universe tracker","backlog","high","Setup; FMP","Pull S&P 500 Dividend Aristocrats list (25+ consecutive years of increases). Fetch dividend calendar, ex-dates, payment dates, and yield data via FMP. Auto-update universe when companies are added/removed.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-2","Implement payout ratio and FCF coverage monitoring","backlog","high","Core; Data","For each aristocrat: calculate payout ratio (dividend/EPS), FCF payout ratio (dividend/FCF per share), debt-to-EBITDA, interest coverage. Pull quarterly data from FMP. Flag when payout ratio >75% or FCF coverage <1.2x.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-3","Build earnings trend deterioration detector","backlog","high","Core; AI","Track 4-quarter rolling EPS trend, revenue growth deceleration, margin compression, and analyst estimate revisions via FMP. Score each company 1-10 on fundamental health. Alert when score drops below 5.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-4","Create dividend safety scoring algorithm","backlog","medium","AI; Data","Composite dividend safety score (0-100) based on: payout ratio (25%), FCF coverage (25%), earnings trend (20%), balance sheet strength (15%), sector stability (15%). Backtest against historical dividend cuts.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-5","Implement portfolio rebalancing signal generator","backlog","medium","Core; Output","When a holding's safety score drops below threshold: generate sell/reduce signal with replacement candidates ranked by yield, safety score, and sector fit. Include tax-loss harvesting opportunity detection.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-6","Build advisor-facing portfolio dashboard","backlog","medium","UI","Multi-client portfolio view showing aggregate yield, weighted safety score, sector allocation, income projection (monthly/annual), and at-risk positions. Exportable PDF reports for client meetings.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-7","Add dividend growth rate projection and income modeling","backlog","medium","Data","Project 5-year dividend income based on historical growth rates, payout ratio trends, and earnings estimates. Model scenarios: base, optimistic, conservative. Show portfolio income trajectory chart.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-8","Implement email alerts for safety score changes","backlog","medium","Alerts; Output","Daily scan + weekly digest email to advisors with: new red flags, score changes >10 points, upcoming ex-dates, dividend increase/decrease announcements. Priority sorting by position size.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-9","Build historical dividend cut prediction backtesting","backlog","low","Testing; Data","Backtest safety score model against all S&P 500 dividend cuts 2015-2025. Calculate precision/recall for cut prediction. Publish model accuracy stats for marketing.","2026-02-07T00:00:00.000Z"
"Dividend Aristocrat Monitoring & Rebalancing Engine","dm-10","Set up per-seat advisor billing and onboarding","backlog","low","Billing; Launch","Stripe subscription at $149/mo per advisor seat. Multi-seat discount (5+ seats: $129/mo). White-label option for $499/mo. Onboarding wizard for portfolio import (CSV, broker API).","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-1","Build FMP small/micro-cap universe (market cap $50M-$2B)","backlog","high","Setup; FMP","Pull all US equities from FMP stock screener API. Filter to market cap $50M-$2B with minimum $500K avg daily volume. Store universe with daily refresh. Track ~3,000-4,000 tickers.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-2","Implement revenue acceleration detection algorithm","backlog","high","Core; Data","For each ticker: pull 8 quarters of revenue via FMP. Calculate QoQ growth rate acceleration (second derivative). Flag when growth rate is increasing for 2+ consecutive quarters. Rank by acceleration magnitude.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-3","Build margin expansion and profitability inflection detector","backlog","high","Core; Data","Track gross margin, operating margin, and net margin trends. Detect inflection from negative to positive operating income. Flag first profitable quarter, expanding margins 3+ quarters.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-4","Integrate SEC filing and insider transaction monitoring","backlog","medium","FMP; Alerts","Monitor FMP SEC filings (10-K, 10-Q, 8-K, 13F) and insider transactions. Alert on: cluster insider buying (3+ insiders in 30 days), Form 4 filings >$500K, and institutional 13F position initiations.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-5","Create composite ""Inflection Score"" ranking system","backlog","medium","AI; Data","Score 0-100 based on: revenue acceleration (25%), margin expansion (20%), insider buying (20%), institutional initiation (15%), analyst estimate revisions (10%), relative valuation (10%). Daily re-ranking.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-6","Build weekly ""Top 10 Inflection Stocks"" report generator","backlog","medium","AI; Output","AI-written weekly report featuring top 10 scoring stocks with: company overview, why fundamentals are inflecting, key risks, valuation context, insider activity, and comparable company analysis.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-7","Implement real-time filing alert notifications","backlog","medium","Alerts; AI","Push alerts within 5 minutes of material SEC filings for watchlisted stocks. Parse 8-K filings for key events: M&A, leadership changes, contract wins, guidance updates. Summarize with AI.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-8","Build subscriber screening dashboard with custom filters","backlog","medium","UI","Interactive screener with filters: market cap range, sector, inflection score, insider activity, revenue growth, margins. Sortable table with sparkline charts. Watchlist and email alert management.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-9","Create historical backtest showing screener performance","backlog","low","Testing; Data","Backtest inflection score against 3 years of small-cap returns. Show: avg return by score quintile, time to outperformance, sector performance. Build marketing case study.","2026-02-07T00:00:00.000Z"
"Small-Cap Fundamental Screener with Filing Alerts","sc-10","Launch with tiered pricing ($79/$149/$199)","backlog","low","Billing; Launch","Basic ($79/mo, weekly report only), Pro ($149/mo, dashboard + real-time alerts), Premium ($199/mo, API access + custom screens). Landing page, free trial, content marketing strategy.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-1","Set up Massive.com options snapshot API integration","backlog","high","Setup; Massive","Connect to Massive Option Chain Snapshot and Option Contract Snapshot endpoints. Implement efficient polling strategy: refresh active positions every 30s during market hours, full chain on-demand.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-2","Build portfolio position input and broker import system","backlog","high","Core; UI","Manual position entry (ticker, strike, expiry, quantity, cost basis) and CSV import. Future: broker API integration (TD Ameritrade, Interactive Brokers). Store positions in PostgreSQL with user accounts.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-3","Implement portfolio-level Greeks aggregation engine","backlog","high","Core; Options","Calculate net Delta, Gamma, Theta, Vega across all positions. Show per-position and portfolio-level Greeks. Include delta-dollar exposure, theta decay per day in dollars, and gamma exposure chart.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-4","Build real-time P&L and risk visualization dashboard","backlog","medium","UI","Interactive dashboard: P&L by position (color-coded), portfolio Greeks summary cards, theta decay timeline chart, delta exposure by underlying. Mobile-responsive React/Next.js with Recharts.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-5","Add IV percentile rank and IV crush risk indicators","backlog","medium","Data; FMP","For each position: show current IV, IV rank (52-week), IV percentile, and days to earnings. Highlight positions with high IV crush risk (earnings within DTE). Pull earnings dates from FMP.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-6","Implement ""what-if"" scenario analysis tool","backlog","medium","UI; Options","Slider-based scenario tool: adjust underlying price (+/-20%), IV change (+/-50%), and time passage (1-30 days). Show projected P&L, new Greeks, and margin requirements for each scenario.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-7","Build risk alerts and threshold notifications","backlog","medium","Alerts","User-configurable alerts: portfolio delta exceeds threshold, theta decay exceeds daily limit, single position unrealized loss limit, margin utilization warning. Push via email/SMS.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-8","Add position sizing recommendations based on portfolio risk","backlog","medium","AI; Options","Given current portfolio Greeks, suggest position sizes for new trades that keep portfolio within risk parameters. Show impact preview before adding position. Max loss calculation.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-9","Implement end-of-day portfolio snapshot history","backlog","low","Data","Store daily portfolio snapshots: Greeks, P&L, IV levels. Show historical charts of portfolio Greeks evolution, cumulative P&L, and theta harvested over time. Performance analytics.","2026-02-07T00:00:00.000Z"
"Real-Time Greeks Dashboard for Retail Options Traders","gd-10","Launch with freemium model ($0/$29/$99)","backlog","low","Billing; Launch","Free (3 positions, delayed data), Basic ($29/mo, 25 positions, real-time), Pro ($99/mo, unlimited positions, alerts, scenarios). Stripe billing, onboarding tutorial, marketing to r/options community.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-1","Build FMP sector ETF data pipeline (11 SPDR sectors)","backlog","high","Setup; FMP","Pull daily price, volume, and performance data for all 11 SPDR sector ETFs (XLK, XLF, XLE, XLV, etc.) plus SPY benchmark. Calculate relative strength vs SPY over 1W, 1M, 3M, 6M windows.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-2","Implement sector momentum scoring engine","backlog","high","Core; Data","Multi-timeframe momentum score for each sector: weighted average of 1-week (10%), 1-month (25%), 3-month (35%), 6-month (30%) relative performance. Normalize to 0-100 scale. Include momentum acceleration metric.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-3","Build sector fundamental health composite from FMP data","backlog","high","Core; FMP","Aggregate financial statement data for top 10 holdings in each sector ETF via FMP. Calculate sector-level: avg P/E, revenue growth, margin trend, earnings revision direction. Score fundamental health 0-100.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-4","Create composite Sector Intelligence Score","backlog","medium","AI; Data","Combine momentum score (50%) and fundamental score (50%) into single composite. Include regime detection: risk-on (cyclicals leading), risk-off (defensives leading), rotation (leadership changing). Output daily rankings.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-5","Build ETF holdings flow analysis from FMP","backlog","medium","Data; FMP","Track ETF fund flows and holdings changes via FMP. Detect institutional rotation: which sectors are seeing inflows/outflows. Cross-reference with 13F filing data for smart money positioning.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-6","Implement RESTful API with authentication and rate limiting","backlog","medium","API","FastAPI/Express API with endpoints: /scores (current rankings), /history (time series), /regime (current market regime), /signals (rotation alerts). JWT auth, tiered rate limits, OpenAPI docs.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-7","Build historical backtesting and performance validation","backlog","medium","Testing; Data","Backtest rotation strategy: monthly rebalance to top 3 scoring sectors vs equal-weight benchmark. Calculate alpha, Sharpe, max drawdown, turnover. 10+ year backtest using FMP historical data.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-8","Create API documentation portal and client SDKs","backlog","low","API; Polish","Interactive API docs with Swagger/Redoc. Python and JavaScript client SDKs on PyPI/npm. Code examples for common use cases: portfolio rebalancing, risk monitoring, research screening.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-9","Set up enterprise billing and usage monitoring","backlog","low","Billing","Tiered API pricing: Startup ($500/mo, 10K calls/day), Growth ($2,000/mo, 50K calls/day), Enterprise ($5,000/mo, unlimited + SLA). Usage dashboard, billing alerts, overage handling.","2026-02-07T00:00:00.000Z"
"Sector Rotation Intelligence API","sr-10","Launch B2B sales pipeline and first customers","backlog","low","Launch","Target fintech apps, robo-advisors, and newsletter platforms. Build case study with backtest results. Sales outreach to 50+ potential customers. Free trial program for qualified leads.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-1","Build FMP multi-source event ingestion pipeline","backlog","high","Setup; FMP","Connect to FMP endpoints: /mergers-acquisitions-rss-feed, /earning_calendar, /sec_filings, /press-releases, /stock_news. Normalize all events into unified schema with event_type, ticker, timestamp, magnitude.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-2","Integrate Massive.com real-time price impact tracker","backlog","high","Core; Massive","For each event: capture Massive real-time price data in T-5min to T+60min window. Calculate: immediate price impact (%), volume surge multiple, bid-ask spread widening, and price stabilization time.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-3","Implement event classification and severity scoring","backlog","high","Core; AI","Classify events: M&A (deal value, premium), earnings (beat/miss magnitude), SEC filings (8-K type codes), management changes, guidance updates. Score severity 1-10 based on historical price impact patterns.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-4","Build historical event-price reaction database","backlog","medium","Data; Infra","Store 2+ years of events with price reactions. Enable queries like: ""average price impact of CEO departures in tech sector"" or ""typical M&A premium by deal size"". PostgreSQL + TimescaleDB.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-5","Create event correlation and cascade detection","backlog","medium","AI; Data","Detect event clusters: multiple insiders selling before earnings miss, M&A rumors followed by price spikes, sector-wide events (e.g., regulatory changes affecting multiple companies). AI pattern matching.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-6","Build real-time event streaming API (WebSocket + REST)","backlog","medium","API","WebSocket feed for real-time events with metadata + price impact. REST API for historical queries, event search, and analytics. Support filtering by ticker, event type, severity, sector.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-7","Implement custom alert rules and watchlist management","backlog","medium","Alerts; UI","Enterprise clients define custom rules: ""alert me for any M&A event >$1B in healthcare"" or ""notify on all insider selling clusters for my portfolio tickers"". Rule engine with AND/OR logic.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-8","Build event analytics dashboard with price impact charts","backlog","medium","UI","Enterprise dashboard: event timeline, price impact waterfall charts, sector event heatmap, historical pattern comparisons. Export to PDF/Excel for research teams.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-9","Create API documentation and enterprise onboarding package","backlog","low","API; Polish","Comprehensive API docs, client libraries (Python, Java, C#), data dictionary, integration guides for Bloomberg Terminal and FactSet. White-glove onboarding process for enterprise.","2026-02-07T00:00:00.000Z"
"Corporate Event Intelligence Feed","ce-10","Launch enterprise sales with pilot program","backlog","low","Billing; Launch","Target: hedge funds, prop trading desks, sell-side research. Offer 30-day pilot with full access. Enterprise pricing: $1K-10K/mo based on usage, seats, and SLA requirements.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-1","Set up Massive.com historical options data download pipeline","backlog","high","Setup; Massive","Configure Massive flat file downloads for historical tick-level options data. Build ETL pipeline to ingest daily files: trades, quotes, OI, and greeks. Target initial load: 3 years for top 500 underlyings.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-2","Build data normalization and quality assurance layer","backlog","high","Core; Data","Normalize across exchanges: standardize timestamps, handle corporate actions (splits, dividends), filter erroneous prints, fill gaps. QA metrics: coverage %, missing data report, anomaly detection.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-3","Implement IV surface construction engine","backlog","high","Core; Options","For each underlying + date: construct IV surface from market quotes using cubic spline interpolation across strikes and term structure. Store as gridded surface (delta x DTE). Calculate skew, kurtosis, term slope.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-4","Build pre-computed analytics: IV rank, percentile, and term structure","backlog","medium","Data; Options","Calculate and cache: IV rank (52-week), IV percentile, put/call skew ratio, term structure slope (contango/backwardation), realized vs implied vol spread. Daily granularity, queryable by date range.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-5","Create strategy backtest simulation framework","backlog","medium","Core","Provide backtest engine for common strategies: covered calls, cash-secured puts, iron condors, straddles/strangles, calendars. Use historical options prices with realistic fill assumptions (mid-market + slippage).","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-6","Build REST API for data queries and downloads","backlog","medium","API","API endpoints: /iv-surface/{ticker}/{date}, /greeks-history/{contract}, /backtest/run, /analytics/{ticker}. Support bulk downloads in Parquet/CSV. Pagination, filtering, date range queries.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-7","Implement Python client library with pandas integration","backlog","medium","API","PyPI package: options-backtest-client. Methods for IV surface retrieval (returns DataFrame), strategy backtesting, and bulk data download. Jupyter notebook examples for common research workflows.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-8","Build data coverage dashboard and health monitoring","backlog","low","UI; Infra","Admin dashboard: data coverage by ticker/date, ETL pipeline status, storage costs, API usage metrics. Customer-facing: data catalog showing available tickers, date ranges, and data freshness.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-9","Create sample research notebooks and documentation","backlog","low","Content; Polish","Publish 5+ Jupyter notebooks: volatility surface analysis, earnings straddle backtesting, skew trading strategies, term structure analysis. Comprehensive API docs with interactive examples.","2026-02-07T00:00:00.000Z"
"Historical Options Backtest Data Service","ob-10","Launch with academic and professional pricing tiers","backlog","low","Billing; Launch","Academic ($200/mo, delayed data, 50 tickers), Professional ($500/mo, full data, all tickers), Institutional ($2,000/mo, bulk downloads, raw tick data, SLA). University discount program.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-1","Build FMP fundamental quality screener for CSP candidates","backlog","high","Setup; FMP","Screen FMP universe for CSP-worthy stocks: strong balance sheet (debt/equity <0.5), consistent earnings (no losses last 8Q), reasonable valuation (P/E <25), adequate liquidity (avg volume >1M). Score and rank.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-2","Integrate Massive.com options chain for strike/expiry selection","backlog","high","Core; Massive","Pull options chain snapshots from Massive for qualified underlyings. Filter to 30-45 DTE, delta range -0.20 to -0.30. Calculate annualized premium yield, probability of profit, and expected return.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-3","Implement VIX-based position sizing and regime adjustment","backlog","high","Core; FMP","Adjust position sizing based on VIX regime: Low VIX (<15): 5% per position, Normal (15-20): 4%, Elevated (20-25): 3%, High (25-35): 2%, Extreme (>35): 1% or pause. Pull VIX from FMP.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-4","Build earnings date avoidance and event calendar filter","backlog","medium","Data; FMP","Cross-reference Massive options expiry with FMP earnings calendar and ex-dividend dates. Never sell puts expiring through earnings. Flag high IV due to upcoming catalyst vs organic elevated IV.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-5","Create daily trade recommendation generator","backlog","medium","Output; AI","Each market day at 10:30 AM ET: scan qualified universe, rank by risk-adjusted premium yield, output top 5-10 trade recommendations with: ticker, strike, expiry, premium, margin required, annualized yield, max loss.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-6","Implement portfolio-level risk management and correlation check","backlog","medium","Core; Options","Before recommending new positions: check portfolio beta, sector concentration, and correlation between existing positions. Reject trades that increase concentration beyond limits. Show portfolio heat map.","2026-02-07T00:00:00.000Z"
"Cash-Secured Put Selling Automator","csp-7","Build trade journal with P&L tracking and analytics","backlog","medium","Data; UI","Log all recommendations with outcomes: expired worthless (full premium kept), closed early (premium captured %), or assigned (cost basis). Track cumulative P&L, win rate, average premium yield.","2026-02-07T00:00:00.000Z"
